Id,SalePrice
1461,216877.8652643495
1462,196200.41958370063
1463,217413.06677899626
1464,206837.35808330443
1465,277184.44617979607
1466,193524.78836355414
1467,286017.9139401885
1468,234359.55929527833
1469,158594.78889691294
1470,124556.69146671811
1471,125918.18755508319
1472,385134.4186772768
1473,138070.79951176606
1474,239597.3934383064
1475,154373.33008183556
1476,138010.90947687422
1477,160475.19052146334
1478,107890.24585757623
1479,139820.93688343128
1480,106510.99171878664
1481,297878.33426265913
1482,145041.70345179393
1483,247126.04548200272
1484,130895.37975727308
1485,151626.28188925833
1486,253843.9423291163
1487,131203.94390053098
1488,280856.41848311503
1489,186754.70037195692
1490,12380.904968458402
1491,75542.60869105678
1492,125042.36967314019
1493,217874.4459850692
1494,182534.06275437225
1495,300833.44100200554
1496,298264.1399733785
1497,120524.01964492876
1498,151624.20207778434
1499,120367.7371857638
1500,76045.90281165577
1501,133962.3780090895
1502,137084.14912725321
1503,162159.12612959344
1504,130165.94605927436
1505,154527.16787107894
1506,320837.70047236135
1507,292266.5679164949
1508,244649.62891351702
1509,53755.93675335625
1510,132357.881422626
1511,179956.45047706953
1512,111532.90244268329
1513,76557.60352058941
1514,357873.96007803734
1515,123664.4286824492
1516,221264.26197215423
1517,224310.38507160224
1518,195377.07592723976
1519,415697.9600032916
1520,111628.87169850708
1521,172826.184146322
1522,90443.70965986434
1523,211872.32844424134
1524,172753.20146133966
1525,252394.83106284187
1526,301096.4926457623
1527,238492.2077711982
1528,226718.4470825179
1529,73822.37253184785
1530,207632.2966860027
1531,312637.9628788244
1532,113153.65274545498
1533,187542.95555930026
1534,133136.88004942608
1535,110083.5039467982
1536,89474.20480203792
1537,117468.85760171137
1538,109809.78461040904
1539,99452.39024990657
1540,114935.56094474287
1541,212253.09058519927
1542,196804.5737111315
1543,253639.35462442465
1544,105450.27005621666
1545,171519.77731831267
1546,262899.51518438186
1547,177527.36648347805
1548,142839.66843598173
1549,52322.59644670086
1550,102151.34013803961
1551,124706.29577678358
1552,114035.67456485398
1553,130256.83151235408
1554,159487.13174104714
1555,197507.22027900533
1556,198153.39388949942
1557,224989.5092525967
1558,106450.70237679317
1559,66464.67865368421
1560,120200.95160530975
1561,210672.15454010398
1562,195142.66489463585
1563,129189.22553231049
1564,177910.5011313247
1565,195978.88474464588
1566,280899.61903709447
1567,116116.71459005108
1568,102545.92030154084
1569,116062.58352749045
1570,216948.057958558
1571,135093.4334002405
1572,178130.04944409028
1573,346559.92965523736
1574,259769.61335814683
1575,224747.1029286493
1576,181501.0093113028
1577,109057.75387352053
1578,132323.16229528678
1579,322031.04380078666
1580,180772.40140679711
1581,162142.0545318871
1582,84866.40075746729
1583,140115.641888924
1584,160813.23823014932
1585,187943.55777697454
1586,59805.759224332316
1587,121070.47664568477
1588,80630.1794887762
1589,147289.00532298273
1590,174612.61590558465
1591,230419.07234647076
1592,218435.94413484744
1593,153662.74586546008
1594,245372.08552477084
1595,144915.39818184203
1596,206598.36149667384
1597,128724.84197293935
1598,181604.86616569053
1599,248703.35757467666
1600,202579.35056594442
1601,73027.64613759395
1602,245120.5979882626
1603,114510.05273118765
1604,221275.73968719985
1605,134183.81652432418
1606,160599.52773301784
1607,108473.59533960866
1608,226122.096584587
1609,158396.26288231547
1610,126258.9320862286
1611,106942.09425477852
1612,305691.5374535969
1613,193299.32150394004
1614,199585.2777671049
1615,119524.39154463637
1616,83391.11146996444
1617,141321.01135878562
1618,268037.3142363284
1619,211533.66176003305
1620,303111.29454145173
1621,164684.8081468251
1622,390882.4412388238
1623,211075.38659931644
1624,78654.31217942317
1625,164813.43008917253
1626,84805.81617833837
1627,238496.9782939946
1628,327087.18660743115
1629,214332.9990248445
1630,273211.6835024695
1631,114895.67253175023
1632,212755.1222846723
1633,228028.473917488
1634,166047.16301300182
1635,193369.36920011262
1636,230020.6419794331
1637,209976.42659162637
1638,211598.72911584808
1639,409644.8664230245
1640,107040.2306381496
1641,166582.63214893598
1642,178310.74458625857
1643,182537.36360828357
1644,204506.70510599186
1645,146720.29797570314
1646,375475.76312724024
1647,196508.00701576186
1648,134331.508615612
1649,156202.82286060505
1650,278095.51693602186
1651,236307.29836294832
1652,196600.26546329283
1653,211047.90861338755
1654,170972.74191117357
1655,116828.99413083284
1656,144388.9603149604
1657,349357.9462186088
1658,212727.92764723004
1659,117731.4913843257
1660,324190.9389944974
1661,123375.67060568802
1662,180294.2198080587
1663,128370.00425435582
1664,157570.290091448
1665,111923.52563807863
1666,241268.57457369368
1667,143524.63226370743
1668,132077.27826291288
1669,252859.89786131284
1670,177241.14687014368
1671,84924.47907307232
1672,165635.32551852992
1673,211126.91054587282
1674,157159.45092162903
1675,150394.00545489066
1676,133619.07628498724
1677,221423.5722755551
1678,91157.43550518312
1679,234591.9594502893
1680,179973.16174356113
1681,220446.2926553479
1682,211553.56124234613
1683,173310.60810215768
1684,108506.74216286314
1685,417055.0486428343
1686,78569.84582974145
1687,272451.12597221666
1688,80827.53792604324
1689,105375.85768300491
1690,195996.19206360576
1691,139331.2025134822
1692,303730.67503181816
1693,92993.79655470682
1694,113476.88605247167
1695,221306.44270531746
1696,93189.84529400297
1697,202596.64088932407
1698,254625.10590510577
1699,285704.40247885056
1700,121750.60655030185
1701,239375.96960207884
1702,113592.50816409283
1703,107383.62956747154
1704,98534.62173331954
1705,255780.35677897406
1706,223669.38578273176
1707,174086.84069151944
1708,160028.8899238177
1709,195132.55739722573
1710,311258.5518617528
1711,86793.87117775128
1712,260376.66366376338
1713,184598.3228908559
1714,158242.9578505008
1715,131593.40599925985
1716,253020.56954865923
1717,198397.38643917738
1718,230349.70317156072
1719,240110.9496880442
1720,107845.04537769494
1721,154749.9339444841
1722,335060.2332099371
1723,183157.2063917786
1724,115530.96617687153
1725,111326.67373812926
